rating	name	latitude	longitude	city
4.5	Sid Gold's Request Room	40.74586	-73.99366	New York
4.5	Gersi	40.68344	-73.99571	Brooklyn
4.0	Holy Guacamole	40.7567674800253	-73.9294484278188	Queens
4.5	Gristmill	40.6736889031443	-73.9824806441803	Brooklyn
3.5	O'Donoghues Pub	40.75689	-73.98521	New York
4.0	Tipsy Shanghai	40.7084192512151	-74.0141288603204	New York
3.5	Brooklyn Bazaar	40.7301329064897	-73.9547889981813	Brooklyn
5.0	Hungry?	40.7253533	-73.952406	Brooklyn
5.0	The Alcove	40.745889	-73.9151262	Sunnyside
4.5	Onderdonk & Sons	40.7053299	-73.9100418	Ridgewood
4.0	Mom's Kitchen & Bar	40.7636753	-73.9215822	Astoria
4.5	Bocadillo	40.70873	-74.00574	New York
4.0	Donna	40.71093	-73.96772	Brooklyn
4.5	Dutch Freds	40.76072	-73.98793	New York
4.5	The Brooklyn Tree	40.70724	-73.94184	Brooklyn
4.5	Chikarashi	40.71787	-73.99948	New York
4.0	Olmsted	40.67713	-73.96869	Brooklyn
4.5	Thursday Kitchen	40.7275	-73.9838	New York
4.5	Win Son	40.70747	-73.9433899	Brooklyn
4.0	Takumen	40.74259	-73.9546699	Long Island City
4.5	Sid Gold's Request Room	40.74586	-73.99366	New York
4.5	Gersi	40.68344	-73.99571	Brooklyn
4.0	Holy Guacamole	40.7567674800253	-73.9294484278188	Queens
4.5	Gristmill	40.6736889031443	-73.9824806441803	Brooklyn
3.5	O'Donoghues Pub	40.75689	-73.98521	New York
4.0	Tipsy Shanghai	40.7084192512151	-74.0141288603204	New York
3.5	Brooklyn Bazaar	40.7301329064897	-73.9547889981813	Brooklyn
5.0	Hungry?	40.7253533	-73.952406	Brooklyn
5.0	The Alcove	40.745889	-73.9151262	Sunnyside
4.5	Onderdonk & Sons	40.7053299	-73.9100418	Ridgewood
4.0	Mom's Kitchen & Bar	40.7636753	-73.9215822	Astoria
4.5	Bocadillo	40.70873	-74.00574	New York
4.0	Donna	40.71093	-73.96772	Brooklyn
4.5	Dutch Freds	40.76072	-73.98793	New York
4.5	The Brooklyn Tree	40.70724	-73.94184	Brooklyn
4.5	Chikarashi	40.71787	-73.99948	New York
4.0	Olmsted	40.67713	-73.96869	Brooklyn
4.5	Thursday Kitchen	40.7275	-73.9838	New York
4.5	Win Son	40.70747	-73.9433899	Brooklyn
4.0	Takumen	40.74259	-73.9546699	Long Island City
4.0	Mad Donkey Beer Bar & Grill	40.75627	-73.92849	Astoria
4.5	Simple	40.71821	-73.99223	New York
4.5	Midwinter Kitchen	40.73542	-73.98293	New York
4.5	Rabbit House	40.7172	-73.99314	New York
4.5	Father Knows Best	40.6901735	-73.9069755	Brooklyn
4.5	Am¨¦lie	40.7327	-73.99766	New York
4.0	Amami Bar and Restaurant	40.72355	-73.95219	Brooklyn
4.5	Naive	40.70944	-73.95566	Brooklyn
4.5	Luke's Lobster	40.7046213003984	-74.0107793876969	New York
